"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Bmyc1",1.33393926364888e-19,0.268310817684409,0.543,0.19,2.7030945238581e-15,"5","Bmyc"
"Skil1",1.40576019804827e-19,0.740943236266379,0.835,0.444,2.84863246532502e-15,"5","Skil"
"Pfkp2",1.45841912447119e-19,0.76864106910284,0.654,0.27,2.95534051382841e-15,"5","Pfkp"
"Plekho21",1.69533137530403e-19,0.461501395020931,0.724,0.309,3.43541949891609e-15,"5","Plekho2"
"Rap2a",1.91325348133301e-19,0.697990823396118,0.52,0.189,3.8770168545732e-15,"5","Rap2a"
"Smpdl3a",1.95963778912388e-19,0.695444599219562,0.677,0.279,3.97101001588063e-15,"5","Smpdl3a"
"Psme1",2.39590619499882e-19,0.737086895465068,0.937,0.601,4.85506431354562e-15,"5","Psme1"
"Nlrp1b1",2.83633554050995e-19,0.6346026543571,0.417,0.129,5.74755033928937e-15,"5","Nlrp1b"
"Jmjd1c1",3.29195503345688e-19,0.726561980921874,0.866,0.444,6.67081767979703e-15,"5","Jmjd1c"
"Acer31",3.60328307792012e-19,0.635915181129159,0.598,0.226,7.30169282909734e-15,"5","Acer3"
"Gosr2",3.94775125932114e-19,0.393758646543305,0.465,0.151,7.99972315188837e-15,"5","Gosr2"
"Cd401",4.00616891411909e-19,0.3864594611653,0.339,0.088,8.11810068757093e-15,"5","Cd40"
"Zfp361",4.0379139249692e-19,0.583556268635943,0.866,0.422,8.1824287775576e-15,"5","Zfp36"
"Cass4",4.19114906592981e-19,0.394623084267122,0.291,0.068,8.49294446720017e-15,"5","Cass4"
"Tmem131",4.21970456031682e-19,0.707888286848347,0.638,0.277,8.550809321026e-15,"5","Tmem131"
"Slc15a31",4.31957790995487e-19,0.497624414624618,0.701,0.262,8.75319267673255e-15,"5","Slc15a3"
"Rbm471",4.81680688732076e-19,0.74792472189529,0.661,0.274,9.76077747646678e-15,"5","Rbm47"
"Rogdi",5.05289663311841e-19,0.253503814668688,0.276,0.061,1.02391897373511e-14,"5","Rogdi"
"Rps11",6.25128367650914e-19,0.58602124622197,1,0.957,1.26676012420781e-14,"5","Rps11"
"Trps11",6.56036628437377e-19,0.923527672269501,0.85,0.478,1.3293926238655e-14,"5","Trps1"
"Arhgef6",7.27518873343942e-19,0.307263660097416,0.598,0.223,1.47424424494416e-14,"5","Arhgef6"
"Phf11b1",7.61796912310833e-19,0.292877419404516,0.488,0.16,1.54370526310667e-14,"5","Phf11b"
"Ifitm21",7.67070337850826e-19,0.786178468322028,0.78,0.366,1.55439133262091e-14,"5","Ifitm2"
"Man2b11",1.04084251097194e-18,0.520535331955571,0.85,0.421,2.10916326423353e-14,"5","Man2b1"
"Gm29282",1.0598425548238e-18,0.287941079660021,0.244,0.049,2.14766495309496e-14,"5","Gm29282"
"Gnaq1",1.10675976289262e-18,0.505192317305264,0.835,0.364,2.24273798352561e-14,"5","Gnaq"
"AC142100.1",1.11760754792117e-18,0.265706952023772,0.197,0.033,2.26471993510745e-14,"5","AC142100.1"
"Atp6ap21",1.12343358301261e-18,0.382759200941143,0.756,0.312,2.27652581261676e-14,"5","Atp6ap2"
"Ifngr21",1.153289742794e-18,0.374584344019597,0.646,0.249,2.33702633479777e-14,"5","Ifngr2"
"Pim11",1.4494198102374e-18,0.675699449117482,0.882,0.531,2.93710430346507e-14,"5","Pim1"
"Egr31",1.57947927443163e-18,0.253470358266665,0.323,0.077,3.20065680170825e-14,"5","Egr3"
"Cep128",1.71884518749283e-18,0.465041284380915,0.409,0.126,3.48306788793547e-14,"5","Cep128"
"Ptafr1",1.87369849586225e-18,0.564683664057776,0.465,0.158,3.79686263201526e-14,"5","Ptafr"
"Fam129a",1.93905002346241e-18,0.519427416533924,0.661,0.271,3.92929096754422e-14,"5","Fam129a"
"Rps27l1",1.96239554516302e-18,0.646012199394997,0.882,0.477,3.97659833271835e-14,"5","Rps27l"
"Tet2",2.0745304308132e-18,0.515255776398805,0.567,0.212,4.20382846499986e-14,"5","Tet2"
"Ctsh2",2.11922220415725e-18,0.567952736467907,0.953,0.432,4.29439187450425e-14,"5","Ctsh"
"Pbx1",2.3460331163359e-18,0.497391433345025,0.488,0.172,4.75400150694307e-14,"5","Pbx1"
"Klrd12",2.42676076601651e-18,0.471622635596825,0.551,0.182,4.91758801625586e-14,"5","Klrd1"
"Iqgap11",2.63918380220068e-18,0.665257647332067,1,0.605,5.34804205677945e-14,"5","Iqgap1"
"Vim2",2.81679880824617e-18,0.98115436582091,0.898,0.551,5.70796110503005e-14,"5","Vim"
"Scaf4",2.93192367788191e-18,0.38462896402915,0.535,0.194,5.94125014085991e-14,"5","Scaf4"
"Foxp41",2.9595342056368e-18,0.331387143991828,0.402,0.118,5.99720011430242e-14,"5","Foxp4"
"Gfpt1",2.98930299000189e-18,0.57842359196656,0.512,0.185,6.05752357893984e-14,"5","Gfpt1"
"Ptprs",3.07554265264591e-18,0.512176736600622,0.37,0.11,6.23227963132167e-14,"5","Ptprs"
"Rab32",3.33315861434799e-18,0.29156927023787,0.354,0.099,6.75431261611476e-14,"5","Rab32"
"Rapgef21",3.37931635743402e-18,0.687150984977047,0.756,0.359,6.84784666670429e-14,"5","Rapgef2"
"Arhgap5",3.93335564662908e-18,0.280468924765883,0.52,0.182,7.97055188232916e-14,"5","Arhgap5"
"Neat11",4.4554277352638e-18,0.604283273998423,0.969,0.574,9.02847876273857e-14,"5","Neat1"
"Sbno21",4.97803809775555e-18,0.563209716591772,0.606,0.249,1.00874964012919e-13,"5","Sbno2"
"Mgl21",5.56378603494503e-18,1.89270284036406,0.37,0.117,1.12744560212126e-13,"5","Mgl2"
"Map3k14",6.36709995290287e-18,0.607816889300501,0.661,0.283,1.29022913445624e-13,"5","Map3k14"
"Gpr1322",6.63372042472895e-18,0.693575645610168,0.929,0.55,1.34425710686708e-13,"5","Gpr132"
"Anxa21",7.10531642694489e-18,0.589331428958262,0.811,0.373,1.43982132075611e-13,"5","Anxa2"
