"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Klf9",0,0.803789911755808,0.736,0.357,0,"0","Klf9"
"Mfap5",0,0.801720025869155,0.248,0.02,0,"0","Mfap5"
"Mir99ahg",0,0.798560717103046,0.812,0.429,0,"0","Mir99ahg"
"Prkg1",0,0.797396685419071,0.557,0.126,0,"0","Prkg1"
"Pbx1",0,0.794458992052597,0.961,0.579,0,"0","Pbx1"
"Add3",0,0.792049316378801,0.657,0.312,0,"0","Add3"
"Colec12",0,0.790775764839792,0.457,0.124,0,"0","Colec12"
"Carmn",0,0.785032736193067,0.393,0.043,0,"0","Carmn"
"Mafb",0,0.783699677300124,0.57,0.201,0,"0","Mafb"
"Olfml3",0,0.782087849167449,0.487,0.099,0,"0","Olfml3"
"Cpxm1",0,0.778482907114744,0.611,0.21,0,"0","Cpxm1"
"Nfia",0,0.77729355006397,0.938,0.586,0,"0","Nfia"
"Mxra8",0,0.770875201019797,0.549,0.124,0,"0","Mxra8"
"Prickle1",0,0.766136785939383,0.535,0.169,0,"0","Prickle1"
"Cyth3",0,0.764314033613729,0.646,0.291,0,"0","Cyth3"
"Dkk3",0,0.761827493859847,0.534,0.08,0,"0","Dkk3"
"Pid1",0,0.759624793044298,0.63,0.246,0,"0","Pid1"
"Cyp1b1",0,0.75303378779781,0.511,0.168,0,"0","Cyp1b1"
"Cebpd",0,0.75299153086087,0.49,0.159,0,"0","Cebpd"
"Hhip",0,0.747618999269635,0.266,0.025,0,"0","Hhip"
"Antxr1",0,0.742225131123058,0.616,0.221,0,"0","Antxr1"
"Prdm6",0,0.7418895176899,0.451,0.066,0,"0","Prdm6"
"Clmp",0,0.737673742553508,0.419,0.024,0,"0","Clmp"
"Airn",0,0.736358517595803,0.818,0.448,0,"0","Airn"
"Gm29683",0,0.731936204704478,0.447,0.093,0,"0","Gm29683"
"Sntb2",0,0.725645171562627,0.751,0.398,0,"0","Sntb2"
"Prickle2",0,0.721583566964649,0.551,0.181,0,"0","Prickle2"
"Sept11",0,0.718104421484966,0.743,0.403,0,"0","Sept11"
"Prrx1",0,0.71504956959386,0.494,0.069,0,"0","Prrx1"
"Fat3",0,0.714150436199932,0.296,0.026,0,"0","Fat3"
"Cavin3",0,0.713078980811718,0.676,0.223,0,"0","Cavin3"
"Sox5",0,0.713008591952145,0.953,0.571,0,"0","Sox5"
"Meis1",0,0.709437967003062,0.596,0.211,0,"0","Meis1"
"Adcy2",0,0.704001505238822,0.388,0.073,0,"0","Adcy2"
"Mfap2",0,0.703713028660551,0.636,0.217,0,"0","Mfap2"
"Col15a1",0,0.702982496064922,0.323,0.06,0,"0","Col15a1"
"Gria3",0,0.701506245128927,0.437,0.041,0,"0","Gria3"
"Gna14",0,0.701301378338871,0.464,0.156,0,"0","Gna14"
"Setbp1",0,0.700118964395708,0.522,0.175,0,"0","Setbp1"
"Sdc2",0,0.699813095806264,0.712,0.318,0,"0","Sdc2"
"Arx",0,0.698331840811198,0.425,0.051,0,"0","Arx"
"Pmp22",0,0.693207675630939,0.587,0.199,0,"0","Pmp22"
