"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cacnb3",3.29225234809183e-61,0.508648467245649,0.401,0.045,6.67142015817328e-57,"2","Cacnb3"
"Gm36283",3.53388209042833e-61,0.429422810547484,0.368,0.028,7.16105866804396e-57,"2","Gm36283"
"Cd82",4.75805277409373e-61,0.797053373646981,0.512,0.096,9.64171814142354e-57,"2","Cd82"
"2610307P16Rik",4.82193404084284e-61,1.30561453036295,0.792,0.392,9.77116714036393e-57,"2","2610307P16Rik"
"Tmem176b",9.64149467377042e-61,1.5125290040341,0.787,0.472,1.95375248069284e-56,"2","Tmem176b"
"Ces2g",1.08436785051314e-60,0.598874715012931,0.474,0.078,2.19736301227983e-56,"2","Ces2g"
"Il18",1.09626046992744e-60,0.297063994186628,0.322,0.012,2.22146221626097e-56,"2","Il18"
"Tmod1",1.21978203115511e-60,0.621483300828778,0.389,0.04,2.47176630793272e-56,"2","Tmod1"
"Ttll10",2.3726684765612e-60,0.317160195529322,0.275,0,4.80797540090362e-56,"2","Ttll10"
"Tnfrsf19",2.54519029047867e-60,0.850591777172505,0.474,0.077,5.15757360462597e-56,"2","Tnfrsf19"
"Bcar3",2.66655658842169e-60,1.10809821454728,0.591,0.159,5.40351027077772e-56,"2","Bcar3"
"Cib2",2.76505031684612e-60,0.325083884897665,0.313,0.011,5.60309796205697e-56,"2","Cib2"
"Lvrn",4.13876660490142e-60,0.546676890305853,0.284,0.002,8.38679664817223e-56,"2","Lvrn"
"Fcor",4.43113648217338e-60,0.29018782449361,0.316,0.012,8.97925496747613e-56,"2","Fcor"
"Wfdc2",4.62691459525834e-60,0.621419781491623,0.287,0.003,9.37597973583149e-56,"2","Wfdc2"
"Serinc2",5.79375408074682e-60,0.385620203686258,0.354,0.023,1.17404632692253e-55,"2","Serinc2"
"Lrp1",5.94296764804259e-60,0.941026288414666,0.558,0.126,1.20428296419935e-55,"2","Lrp1"
"Chpf",7.42078911272133e-60,0.464687910885939,0.377,0.034,1.50374870580185e-55,"2","Chpf"
"Sulf2",1.61251218812774e-59,0.79399223494702,0.623,0.162,3.26759469802204e-55,"2","Sulf2"
"Aifm2",2.21526108599866e-59,0.534568530136066,0.418,0.052,4.48900506466768e-55,"2","Aifm2"
"Ctf1",2.35070940337929e-59,0.257465070063557,0.31,0.011,4.7634775350078e-55,"2","Ctf1"
"Slc16a9",2.35932511277652e-59,0.619781387649803,0.442,0.063,4.78093640853034e-55,"2","Slc16a9"
"Xkr4",2.52569492736646e-59,0.592428011082131,0.33,0.018,5.1180682008154e-55,"2","Xkr4"
"Ccdc80",2.6172331758138e-59,0.81153360260306,0.485,0.092,5.30356130746909e-55,"2","Ccdc80"
"Gpx8",2.77398122481218e-59,0.714038161614658,0.471,0.084,5.62119555395939e-55,"2","Gpx8"
"Dmkn",2.91421571222477e-59,0.471788355150136,0.287,0.004,5.90536671925227e-55,"2","Dmkn"
"Ttc38",3.39515148384644e-59,0.437598274485192,0.406,0.045,6.87993496686643e-55,"2","Ttc38"
"Fam129a",4.48443133111207e-59,1.17136949145278,0.635,0.208,9.0872516493655e-55,"2","Fam129a"
"Rasgrp1",4.48912656867843e-59,0.317745123748991,0.278,0.002,9.09676607876998e-55,"2","Rasgrp1"
"Smpx",4.76314679064621e-59,0.257840188465268,0.284,0.003,9.65204065656547e-55,"2","Smpx"
"Dnase2a",5.48423008116119e-59,0.582394441633249,0.482,0.088,1.1113243836465e-54,"2","Dnase2a"
"Angptl4",6.59852024847417e-59,0.973655395305432,0.509,0.108,1.33712414315081e-54,"2","Angptl4"
"Hs6st2",7.15183295043923e-59,0.792868610902724,0.45,0.066,1.44924742907701e-54,"2","Hs6st2"
"Cd320",8.33840677383253e-59,1.44055531891491,0.635,0.238,1.68969474864942e-54,"2","Cd320"
"Dtnb",8.43195129731541e-59,1.08542463686718,0.614,0.201,1.70865061088799e-54,"2","Dtnb"
"Cited4",1.40964518740963e-58,0.373012053139353,0.336,0.02,2.85650500776687e-54,"2","Cited4"
"Rgs10",1.4918254457422e-58,0.573453571091562,0.512,0.099,3.02303508325199e-54,"2","Rgs10"
"Slc44a3",1.97294969297388e-58,0.563863199231463,0.398,0.043,3.99798525784228e-54,"2","Slc44a3"
"Klc3",2.57049653286303e-58,0.367576495428588,0.325,0.017,5.20885417419365e-54,"2","Klc3"
"Thrb",2.9928886869531e-58,1.29153032939761,0.626,0.198,6.06478963524177e-54,"2","Thrb"
