"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gapdh",0.00222757240970629,0.469141602414969,0.436,0.809,1,"1","Gapdh"
"Ubc",0.00225761141559032,0.269900968582172,0.496,0.865,1,"1","Ubc"
"Rps25",0.00242675280345088,0.379089274380095,0.458,0.848,1,"1","Rps25"
"Hsd3b1",0.00298300248205234,1.33640415734078,0.21,0.166,1,"1","Hsd3b1"
"Rpl32",0.00334795831447036,0.362945565054949,0.774,0.952,1,"1","Rpl32"
"Plxnd11",0.00339681740781538,0.873164097229529,0.297,0.522,1,"1","Plxnd1"
"Cenpa",0.00389583220700899,0.688481185572233,0.074,0.142,1,"1","Cenpa"
"Cdk1",0.00405049019530578,0.546557892718192,0.09,0.166,1,"1","Cdk1"
"Inhbb",0.00472719068505298,0.330152307309179,0.057,0.115,1,"1","Inhbb"
"Prkar2b",0.00614596522206507,1.13431091184325,0.163,0.28,1,"1","Prkar2b"
"Rpl8",0.00895406514523569,0.341740626423538,0.719,0.943,1,"1","Rpl8"
"Lgals7",1.24507272110507e-192,4.73734877478414,0.825,0.025,2.52301536204731e-188,"2","Lgals7"
"Epcam",2.71362021972425e-189,3.39304958937314,0.789,0.01,5.49888001324922e-185,"2","Epcam"
"Lgr5",4.16903060695658e-183,3.36148103049101,0.781,0.013,8.44812362193682e-179,"2","Lgr5"
"Krt18",3.053762745227e-182,3.49120718873293,0.789,0.019,6.188144826928e-178,"2","Krt18"
"Upk1b",1.61262793410982e-176,2.81504656343418,0.746,0.011,3.26782924568015e-172,"2","Upk1b"
"Hsd17b2",2.98733265681424e-176,2.60054612767542,0.737,0.004,6.05353089576838e-172,"2","Hsd17b2"
"Ildr2",1.22002148292077e-173,2.81266330602736,0.775,0.029,2.47225153299064e-169,"2","Ildr2"
"Grip1",2.84621429777796e-173,3.00269620494096,0.769,0.023,5.76756865301727e-169,"2","Grip1"
"Krt19",3.88808040829836e-172,3.11560158128939,0.722,0.007,7.87880613937579e-168,"2","Krt19"
"Pcnx2",3.65899392163455e-168,2.25106700108637,0.734,0.013,7.41458528280026e-164,"2","Pcnx2"
"Aldh1a2",1.18935114194125e-165,2.61511265724432,0.737,0.022,2.41010115402974e-161,"2","Aldh1a2"
"Krt7",4.7390876004153e-162,2.90059576233095,0.687,0.004,9.60328711348157e-158,"2","Krt7"
"Nrg1",1.1881349839635e-161,4.26469414347118,0.722,0.024,2.40763673150363e-157,"2","Nrg1"
"Egfl6",6.539526216325e-161,2.06484860247088,0.681,0.004,1.3251695924761e-156,"2","Egfl6"
"Ppfibp2",7.86218702482373e-160,2.5558924613137,0.769,0.055,1.59319357871028e-155,"2","Ppfibp2"
"Msln",2.11793399834295e-159,2.37913020437092,0.675,0.004,4.29178145424215e-155,"2","Msln"
"Ppp2r2b",1.24494363596339e-158,2.3223303070238,0.687,0.009,2.52275378391621e-154,"2","Ppp2r2b"
"Lhx9",2.71583664741211e-158,2.26659015024937,0.684,0.01,5.50337138231589e-154,"2","Lhx9"
"Upk3b",2.13400856606128e-155,2.55306198962374,0.687,0.015,4.32435495826657e-151,"2","Upk3b"
"Krt8",3.73161135299675e-154,2.15931643621702,0.687,0.013,7.56173724571262e-150,"2","Krt8"
"Gng13",2.12191283242831e-153,3.15719272973222,0.661,0.006,4.29984416363273e-149,"2","Gng13"
"Kcnd2",5.10207256137177e-153,3.35321043002236,0.819,0.087,1.03388398383637e-148,"2","Kcnd2"
"Amhr2",1.88392053543066e-152,2.19072446162303,0.749,0.041,3.81757657299669e-148,"2","Amhr2"
"Kctd14",2.19262063487898e-152,3.44020561739767,0.792,0.077,4.44312645451876e-148,"2","Kctd14"
"Mt2",1.4274402029429e-151,3.57890512244299,0.76,0.064,2.8925648272435e-147,"2","Mt2"
"Sox6",1.90259346638026e-150,2.48736109048858,0.728,0.047,3.85541540027295e-146,"2","Sox6"
"Slc35f1",5.9393585697447e-150,2.59725176017009,0.678,0.02,1.20355162057307e-145,"2","Slc35f1"
"Muc16",1.86402543719092e-149,1.83008097061507,0.64,0.003,3.77726114592369e-145,"2","Muc16"
"Igfbp5",2.69322832567214e-149,3.49210074131145,0.857,0.134,5.45755787914202e-145,"2","Igfbp5"
"Cftr",4.82543479156069e-148,1.76406942986009,0.637,0.004,9.77826106161858e-144,"2","Cftr"
"Lgals2",5.89342953032681e-147,2.6824578147341,0.626,0.002,1.19424456002542e-142,"2","Lgals2"
"Espn",5.2158309418507e-146,2.20373707200284,0.684,0.03,1.05693598205663e-141,"2","Espn"
"Mt1",5.6736924256567e-146,4.49225876197848,0.874,0.203,1.14971703313507e-141,"2","Mt1"
