"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Synm",1.64002513282157e-13,0.269465821781073,0.373,0.259,3.32334692914963e-09,"2","Synm"
"Wnt5b",1.72211883968058e-13,0.457186072393435,0.326,0.213,3.48970161672873e-09,"2","Wnt5b"
"Tshz2",1.7452501786683e-13,0.472966569435002,0.713,0.674,3.53657496205343e-09,"2","Tshz2"
"Cst12",1.76139872612974e-13,0.661345208709699,0.47,0.396,3.5692983786293e-09,"2","Cst12"
"Slc7a5",2.11684585104765e-13,0.64121810747108,0.562,0.512,4.28957643256295e-09,"2","Slc7a5"
"Nt5c3",2.72456582779503e-13,0.492040277967114,0.407,0.332,5.52106019344385e-09,"2","Nt5c3"
"Mdfic",3.23474986323449e-13,0.585255665390781,0.673,0.654,6.55489712285837e-09,"2","Mdfic"
"Erbb2",3.62934176672624e-13,0.33115963656335,0.267,0.164,7.35449815609405e-09,"2","Erbb2"
"Rnf213",4.34745059819161e-13,0.540654496684762,0.51,0.466,8.80967389217548e-09,"2","Rnf213"
"Tmsb4x",5.17127681311614e-13,0.459410614768548,0.541,0.405,1.04790753340985e-08,"2","Tmsb4x"
"Khdrbs21",5.43602264013659e-13,0.497528747389712,0.269,0.16,1.10155562779728e-08,"2","Khdrbs2"
"Oxr1",6.63268752983226e-13,0.69298191114653,0.481,0.418,1.34404780104521e-08,"2","Oxr1"
"Rhbdf2",6.80325608430131e-13,0.342608289403586,0.316,0.209,1.37861181292282e-08,"2","Rhbdf2"
"Gramd4",8.94906950570595e-13,0.460971300345714,0.296,0.195,1.81343944463625e-08,"2","Gramd4"
"Heg1",1.07403856797407e-12,0.430194003956956,0.473,0.38,2.17643175414265e-08,"2","Heg1"
"Ktn1",1.16106628562758e-12,0.380944020159268,0.711,0.712,2.35278472119572e-08,"2","Ktn1"
"Pdgfa",1.45834127177533e-12,0.542847789962309,0.358,0.265,2.95518275312552e-08,"2","Pdgfa"
"Ston2",1.76606130785713e-12,0.620812283562791,0.556,0.509,3.57874663424169e-08,"2","Ston2"
"Slc40a11",1.91558065686958e-12,0.337039565510268,0.382,0.281,3.88173264308052e-08,"2","Slc40a1"
"Prkn",1.9238673711641e-12,0.573042079834555,0.449,0.354,3.89852484092693e-08,"2","Prkn"
"Ap1ar",2.25925334754149e-12,0.439027609341179,0.419,0.336,4.57815098345807e-08,"2","Ap1ar"
"Tead11",2.58457617068223e-12,0.657245442181371,0.613,0.579,5.23738515227046e-08,"2","Tead1"
"Apcdd1",3.11099953309725e-12,0.325582046437169,0.237,0.137,6.30412945386827e-08,"2","Apcdd1"
"Kazn",3.17340905019844e-12,0.641548012089607,0.392,0.298,6.43059609932213e-08,"2","Kazn"
"Arid5b",3.48047196171065e-12,0.531190134270647,0.508,0.441,7.05282838321046e-08,"2","Arid5b"
"Ptch1",3.67639433205807e-12,0.658392619762576,0.538,0.49,7.44984547448248e-08,"2","Ptch1"
"Psap",4.21420816696588e-12,0.392507834985241,0.661,0.647,8.53967142953966e-08,"2","Psap"
"Zbtb7c",4.25848801020625e-12,0.460067097692836,0.332,0.225,8.62940010388194e-08,"2","Zbtb7c"
"St5",5.53476144075346e-12,0.579889581053179,0.458,0.387,1.12156405835428e-07,"2","St5"
"Tacc1",6.45952353087853e-12,0.555274431708626,0.582,0.552,1.30895784829723e-07,"2","Tacc1"
"Arnt2",7.58986662969041e-12,0.292140736085556,0.304,0.198,1.53801057384046e-07,"2","Arnt2"
"Nedd9",7.88969233172682e-12,0.457271128211907,0.416,0.33,1.59876725410112e-07,"2","Nedd9"
"Pam",9.10757435389961e-12,0.451987723964448,0.507,0.45,1.84555886707422e-07,"2","Pam"
"Nhej1",1.18328063138712e-11,0.430268529793292,0.378,0.283,2.39779987144286e-07,"2","Nhej1"
"Parvb",1.19959523699559e-11,0.368309803732406,0.212,0.119,2.43085978824786e-07,"2","Parvb"
"1700025G04Rik",1.25087142384337e-11,0.582853467232201,0.416,0.339,2.53476585327621e-07,"2","1700025G04Rik"
