"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ubtf",3.15480145693778e-229,0.345228293336027,0.082,0.516,6.39288967233872e-225,"0","Ubtf"
"Adam10",6.90367554625641e-229,0.259872727661291,0.073,0.495,1.3989608126934e-224,"0","Adam10"
"Wapl",7.20057916963736e-229,0.344048867136845,0.133,0.63,1.45912536293532e-224,"0","Wapl"
"Ube4b",8.65320248442597e-229,0.298521918843113,0.09,0.535,1.75348495144408e-224,"0","Ube4b"
"Smarce1",2.27144543637466e-228,0.310947095688336,0.111,0.579,4.60285703226962e-224,"0","Smarce1"
"March7",3.19555542430268e-228,0.344261652820139,0.078,0.507,6.47547351180696e-224,"0","March7"
"Ddb1",5.7978147797816e-228,0.414648773494888,0.13,0.619,1.17486918697494e-223,"0","Ddb1"
"Anapc5",1.24136939663881e-227,0.449136223491483,0.156,0.68,2.51551094534889e-223,"0","Anapc5"
"Insr",2.67671918940204e-227,0.265575854883288,0.081,0.511,5.42410376540429e-223,"0","Insr"
"Rpn1",4.75238800097497e-227,0.377436567673124,0.126,0.609,9.63023904517568e-223,"0","Rpn1"
"Ptbp1",7.35608644075332e-227,0.310139480461674,0.118,0.589,1.49063735635425e-222,"0","Ptbp1"
"Ptbp3",9.13949956860312e-227,0.318618348491577,0.114,0.582,1.85202819258174e-222,"0","Ptbp3"
"U2af1",1.09957694097835e-226,0.367732817524946,0.153,0.671,2.22818271319853e-222,"0","U2af1"
"Cct6a",1.64806930469953e-226,0.34497942536085,0.157,0.681,3.33964763904313e-222,"0","Cct6a"
"Baz1b",1.69174755593776e-226,0.321071535041586,0.093,0.538,3.42815724735227e-222,"0","Baz1b"
"Safb2",2.04701950476095e-226,0.293041760669731,0.084,0.519,4.14808032444758e-222,"0","Safb2"
"Csde1",3.23626171593875e-226,0.437827854442401,0.155,0.674,6.55796074117828e-222,"0","Csde1"
"Higd1a",3.40310051995303e-226,0.291946062821699,0.101,0.554,6.89604289363281e-222,"0","Higd1a"
"Tulp4",8.37191614042418e-226,0.351596977074335,0.095,0.541,1.69648508669556e-221,"0","Tulp4"
"Jarid2",8.52292204175754e-226,0.355431731309242,0.106,0.566,1.72708492254175e-221,"0","Jarid2"
"Hnrnpm",1.96196490796993e-225,0.398997843596808,0.15,0.664,3.97572568951026e-221,"0","Hnrnpm"
"Ssbp3",1.2666358036193e-224,0.37247212504404,0.091,0.53,2.56671079245415e-220,"0","Ssbp3"
"Eri3",1.66319665568249e-224,0.342005055075204,0.089,0.526,3.370301703075e-220,"0","Eri3"
"Eif3l",2.41332685718202e-224,0.452403868502025,0.142,0.645,4.89036554339364e-220,"0","Eif3l"
"Ltbp3",9.80921476747258e-224,0.300545285175246,0.079,0.501,1.98773928048064e-219,"0","Ltbp3"
"Afdn",1.48828530418993e-223,0.313715305392038,0.095,0.538,3.01586134041048e-219,"0","Afdn"
"Hnrnpc",2.41755526369899e-223,0.347346689104004,0.196,0.764,4.89893398635964e-219,"0","Hnrnpc"
"Cdv3",4.76515994669942e-223,0.4518106655816,0.171,0.705,9.6561201159917e-219,"0","Cdv3"
"Rabl6",1.60049636946153e-222,0.310614436339708,0.09,0.525,3.24324584307684e-218,"0","Rabl6"
"Snrpf",6.88385098629841e-222,0.339969710232959,0.163,0.69,1.39494356386351e-217,"0","Snrpf"
"Cct7",7.56552061128383e-222,0.327518828334984,0.18,0.726,1.53307709667056e-217,"0","Cct7"
"Atf4",5.57333987566276e-221,0.393622492281924,0.137,0.627,1.1293815924043e-216,"0","Atf4"
"Nt5c3b",8.28137592875525e-221,0.252953993089038,0.08,0.5,1.67813801820296e-216,"0","Nt5c3b"
"Ddx3x",9.50971954394596e-221,0.347041743282426,0.182,0.728,1.92704956838521e-216,"0","Ddx3x"
"Dgcr6",1.05898946855657e-220,0.25753951983288,0.074,0.487,2.14593625908303e-216,"0","Dgcr6"
"Ubn2",2.23396279837247e-220,0.362791773219758,0.193,0.753,4.52690221462197e-216,"0","Ubn2"
"Vps13d",2.88620883551714e-220,0.395004624804793,0.094,0.533,5.84861358429194e-216,"0","Vps13d"
"Cct3",2.16368729468854e-219,0.409898772285585,0.164,0.689,4.38449593395686e-215,"0","Cct3"
"Ubap2",3.22964981876525e-219,0.293177231339194,0.086,0.511,6.54456239274589e-215,"0","Ubap2"
"Zfp207",3.67881822913863e-219,0.317268502443354,0.082,0.503,7.45475725952652e-215,"0","Zfp207"
"Mprip",6.67347256520107e-219,0.359929426348598,0.196,0.754,1.35231248061234e-214,"0","Mprip"
"Canx",8.23739617295351e-219,0.332019283299701,0.187,0.731,1.6692259604873e-214,"0","Canx"
"Erc1",1.98317874013829e-218,0.333132968565737,0.08,0.499,4.01871339901622e-214,"0","Erc1"
"Ttc14",2.92452081487744e-218,0.363413551771371,0.088,0.516,5.92624897926764e-214,"0","Ttc14"
"Spin1",3.86921683451191e-218,0.389099301180828,0.096,0.535,7.84058099345493e-214,"0","Spin1"
"Chd8",5.40024622723155e-218,0.293595026821595,0.075,0.486,1.0943058954862e-213,"0","Chd8"
"Ptprg",1.6942745524426e-217,0.314760851532773,0.203,0.77,3.43327795306969e-213,"0","Ptprg"
"Atxn1",3.70900598435339e-217,0.385813364585832,0.15,0.652,7.5159297266937e-213,"0","Atxn1"
"Nop56",5.11692100364355e-217,0.379035647860801,0.113,0.57,1.03689287217833e-212,"0","Nop56"
"Sfpq",1.88799184163967e-216,0.269149658438436,0.207,0.772,3.82582666789863e-212,"0","Sfpq"
"Ogt",4.65458128595914e-216,0.432931253588972,0.142,0.634,9.43204351786761e-212,"0","Ogt"
"Smarca4",6.00270104693044e-216,0.352639772207597,0.1,0.539,1.21638734014998e-211,"0","Smarca4"
"Purb",5.62813944622434e-215,0.386049425352588,0.189,0.735,1.1404861773829e-210,"0","Purb"
"Phactr2",7.65920662896499e-215,0.254965926139248,0.086,0.505,1.55206163129347e-210,"0","Phactr2"
"Usp7",1.9646281776455e-214,0.337160450398666,0.075,0.484,3.98112253918085e-210,"0","Usp7"
"Manf",6.60874595327623e-214,0.326438799777991,0.166,0.68,1.3391962799719e-209,"0","Manf"
"Gon4l",1.45415836833797e-213,0.321137425784098,0.077,0.485,2.94670651760007e-209,"0","Gon4l"
"Luc7l3",1.52592383131494e-213,0.451562260430934,0.18,0.716,3.0921320517766e-209,"0","Luc7l3"
"Psma2",2.43406023721372e-213,0.381018335281886,0.197,0.756,4.93237966468989e-209,"0","Psma2"
"Luc7l",4.79262198620826e-213,0.381814189803595,0.083,0.498,9.71176919285242e-209,"0","Luc7l"
"Zfc3h1",2.04342414583317e-212,0.251064638342102,0.065,0.457,4.14079468911633e-208,"0","Zfc3h1"
"Hnrnpd",5.50974324013374e-212,0.388443300050908,0.152,0.648,1.1164943701807e-207,"0","Hnrnpd"
"Hmg20b",7.04280822468941e-212,0.323814483573224,0.086,0.502,1.42715465865106e-207,"0","Hmg20b"
"Enah",7.53416437563573e-212,0.328838124721812,0.111,0.557,1.52672306907883e-207,"0","Enah"
"Dynll2",5.76243352995454e-211,0.407626302997531,0.131,0.6,1.16769953050999e-206,"0","Dynll2"
"Tet3",8.33807536617465e-211,0.391897636383893,0.081,0.491,1.68962759220163e-206,"0","Tet3"
"Atp5k",9.18522307706517e-211,0.282507515594257,0.199,0.753,1.86129360433649e-206,"0","Atp5k"
"Azin1",9.63073334075343e-211,0.252271092599599,0.08,0.487,1.95157180417028e-206,"0","Azin1"
"Kdm6b",1.77441821828714e-210,0.251187361451649,0.08,0.488,3.59568107753706e-206,"0","Kdm6b"
"Grn",2.73021338931837e-210,0.314404861374786,0.077,0.48,5.53250441211474e-206,"0","Grn"
"Hnrnpul1",3.48355149035065e-208,0.259209124541811,0.07,0.463,7.05906874004655e-204,"0","Hnrnpul1"
"Cnot1",5.3024480597759e-208,0.451589836401106,0.105,0.542,1.07448807483299e-203,"0","Cnot1"
"Dag1",1.780396848028e-207,0.471875843120156,0.141,0.617,3.60779617284394e-203,"0","Dag1"
"Thada",1.95493412666792e-207,0.262025352408069,0.064,0.451,3.96147851427986e-203,"0","Thada"
"Znrf1",2.38904912136772e-207,0.395051709143073,0.092,0.51,4.84116913953954e-203,"0","Znrf1"
"Usp19",9.51426806690421e-207,0.290536423093052,0.054,0.427,1.92797128107747e-202,"0","Usp19"
"Nrf1",1.69686316220981e-206,0.259363475911706,0.066,0.451,3.43852351190195e-202,"0","Nrf1"
"Snrnp70",3.57839614607395e-206,0.49832374226806,0.192,0.732,7.25126195040426e-202,"0","Snrnp70"
"Fubp1",1.3549907667779e-205,0.474643974531032,0.149,0.635,2.74575328979873e-201,"0","Fubp1"
"Pdia4",2.24144724683513e-205,0.27827446661411,0.08,0.482,4.5420687009867e-201,"0","Pdia4"
"Scaf11",2.36263870332795e-205,0.56734628366266,0.166,0.673,4.78765106842375e-201,"0","Scaf11"
"Fam214a",4.6713409448999e-205,0.318211695979496,0.076,0.473,9.46600529074516e-201,"0","Fam214a"
"Psap",6.82005116685664e-205,0.256349409735606,0.25,0.85,1.38201516845183e-200,"0","Psap"
"Ckap5",1.25195823002671e-204,0.253584695425945,0.076,0.472,2.53696815732612e-200,"0","Ckap5"
"Golga4",1.65597280926891e-203,0.385334319308025,0.084,0.49,3.35566330070252e-199,"0","Golga4"
"Mybbp1a",1.69805775529037e-203,0.331339076263877,0.076,0.47,3.44094423532041e-199,"0","Mybbp1a"
"Snrpd1",3.46387450709688e-203,0.427920957534204,0.169,0.678,7.01919530118112e-199,"0","Snrpd1"
"Pkm",3.68650349042305e-203,0.383740183940074,0.201,0.747,7.47033067299327e-199,"0","Pkm"
"Rif1",2.96181649362724e-202,0.379562591697368,0.094,0.509,6.00182494268624e-198,"0","Rif1"
"Clip1",5.13477970067115e-202,0.349198529293479,0.071,0.458,1.040511758544e-197,"0","Clip1"
"Lsm6",2.19359885754438e-201,0.329365142973999,0.108,0.538,4.44510872492792e-197,"0","Lsm6"
"Srpk1",1.6127566702122e-199,0.376623288137036,0.087,0.488,3.26809011651799e-195,"0","Srpk1"
"Gsk3a",1.75194105051483e-199,0.377994982395376,0.08,0.474,3.55013334476324e-195,"0","Gsk3a"
"Hnrnpdl",2.16171921800422e-199,0.472046557664137,0.164,0.659,4.38050782336375e-195,"0","Hnrnpdl"
"Trrap",2.30561165985697e-199,0.517328211994043,0.118,0.56,4.67209146753417e-195,"0","Trrap"
"Ypel2",3.25682802841873e-199,0.375314253152709,0.097,0.51,6.59963631678771e-195,"0","Ypel2"
"Ehmt2",4.65629342033929e-199,0.380073721415793,0.077,0.468,9.43551298697553e-195,"0","Ehmt2"
"Sod1",6.41238714348986e-199,0.502526073164629,0.157,0.641,1.29940613075679e-194,"0","Sod1"
"Fkbp5",3.37148765374958e-198,0.255286958299897,0.161,0.646,6.83198258155815e-194,"0","Fkbp5"
"Flna",4.21000066970222e-198,0.292011120478144,0.152,0.627,8.53114535708458e-194,"0","Flna"
"Pabpn1",5.11863042719024e-198,0.355448786461258,0.22,0.786,1.03723926976583e-193,"0","Pabpn1"
"Tbca",8.00727971351185e-198,0.379425605978435,0.212,0.768,1.62259516114604e-193,"0","Tbca"
"Clasp1",1.33066238918142e-197,0.319213978988899,0.069,0.448,2.69645426543724e-193,"0","Clasp1"
"Abl1",1.48729227839009e-197,0.267706620601993,0.064,0.436,3.01384907292967e-193,"0","Abl1"
"Ap2a2",1.49614774505241e-197,0.264792099322753,0.062,0.432,3.0317937905742e-193,"0","Ap2a2"
"Dym",2.79948521303024e-197,0.314399358342395,0.073,0.457,5.67287683568447e-193,"0","Dym"
"Ak2",1.95317718688363e-196,0.283833853525256,0.08,0.47,3.95791825150099e-192,"0","Ak2"
"AC149090.1",3.1449629577493e-196,0.355528709888944,0.075,0.46,6.37295293758319e-192,"0","AC149090.1"
"Pcf11",6.57421539824288e-196,0.309655967475248,0.071,0.452,1.33219900829994e-191,"0","Pcf11"
"Zc3h14",1.47745275188988e-195,0.397206631560667,0.078,0.464,2.99391025642965e-191,"0","Zc3h14"
"Cs",1.8538716351564e-195,0.259241419897286,0.049,0.4,3.75668548148094e-191,"0","Cs"
"Cpne1",2.88703498194324e-194,0.317632523876471,0.072,0.451,5.85028768740979e-190,"0","Cpne1"
"Zc3h7a",3.6184979178833e-194,0.343705801102483,0.065,0.435,7.33252418079872e-190,"0","Zc3h7a"
"Mboat2",3.98550346372142e-194,0.482319464618786,0.116,0.547,8.07622421888508e-190,"0","Mboat2"
"Ranbp1",4.17899308270569e-194,0.446078791604577,0.185,0.704,8.46831158279481e-190,"0","Ranbp1"
"Ppp4r3a",6.02877345257614e-194,0.307502646739024,0.057,0.418,1.22167065243003e-189,"0","Ppp4r3a"
"Smad3",1.52368121439843e-193,0.286230321138408,0.072,0.448,3.08758761285697e-189,"0","Smad3"
"Hnrnph1",4.47194426696641e-193,0.518377145211781,0.176,0.677,9.06194786258074e-189,"0","Hnrnph1"
"Cpsf6",6.16729457389331e-193,0.346843967002103,0.075,0.454,1.24974057245374e-188,"0","Cpsf6"
"Tmem259",6.17342132877271e-193,0.303870286244092,0.058,0.417,1.2509820980625e-188,"0","Tmem259"
"Maged1",1.41977277291884e-192,0.523084421756992,0.184,0.697,2.87702754704273e-188,"0","Maged1"
"Mta1",1.76481093748735e-192,0.262675155203762,0.053,0.406,3.57621288372437e-188,"0","Mta1"
"Yeats2",3.60716420925884e-192,0.295062524399467,0.057,0.415,7.30955755364212e-188,"0","Yeats2"
"Ywhaq",7.2733830975688e-192,0.441637062995799,0.217,0.771,1.47387835089134e-187,"0","Ywhaq"
"Sfswap",2.54886421082452e-191,0.374778822437785,0.066,0.433,5.1650184368148e-187,"0","Sfswap"
"Eno1",8.33945921054057e-191,0.365273652113906,0.094,0.494,1.68990801442394e-186,"0","Eno1"
"D10Wsu102e",1.40498328405038e-190,0.263513380607333,0.077,0.454,2.84705812679969e-186,"0","D10Wsu102e"
"Pgk1",2.04112402585742e-190,0.402657057809142,0.104,0.517,4.13613372599748e-186,"0","Pgk1"
"Oga",2.64074493441989e-190,0.339244321367558,0.072,0.444,5.35120553510847e-186,"0","Oga"
"Mapk14",4.0701642895193e-190,0.262748788599492,0.05,0.396,8.24778091628191e-186,"0","Mapk14"
"Gls",9.02865454649233e-190,0.277259856860226,0.223,0.77,1.82956655730121e-185,"0","Gls"
"Chd4",1.29798443449618e-189,0.375804707224961,0.223,0.779,2.63023565806306e-185,"0","Chd4"
"Ddx17",3.01359196675398e-189,0.645263236327908,0.164,0.648,6.10674276143027e-185,"0","Ddx17"
"Nap1l1",5.7011391890104e-189,0.374771420912489,0.199,0.724,1.15527884526107e-184,"0","Nap1l1"
"Ice1",1.27878445027085e-188,0.263869041935983,0.06,0.416,2.59132881002884e-184,"0","Ice1"
"Vps13a",2.56465397999756e-188,0.264890132313265,0.063,0.422,5.19701482506705e-184,"0","Vps13a"
"Eif3b",3.69063221660603e-188,0.453666052096948,0.094,0.492,7.47869712373047e-184,"0","Eif3b"
"Kidins220",5.96058661232707e-188,0.335849571149091,0.059,0.414,1.20785327112196e-183,"0","Kidins220"
"Rbm3",7.94970311309865e-188,0.310967346918517,0.212,0.752,1.61092783883831e-183,"0","Rbm3"
"Tomm70a",5.46291589395815e-187,0.270270291418887,0.058,0.409,1.10700527675168e-182,"0","Tomm70a"
"Camta1",1.20760361564735e-186,0.521276579995155,0.114,0.532,2.44708796674779e-182,"0","Camta1"
